create_date,election_date,election_district,election_notes,election_party,election_state,election_type_full,election_type_id,election_year,office_sought,primary_general_date,update_date
2024-07-24T11:41:58,2024-12-07, ,,,LA,General runoff,GR,2024,H,2024-07-24,2024-07-30T12:58:44
2023-12-14T12:26:08,2024-12-03, ,,,GA,General runoff,GR,2024,H,2023-12-14,
2023-12-14T12:21:39,2024-11-19,,,,GU,General runoff,GR,2024,H,2023-12-14,
2023-12-14T12:21:39,2024-11-19,,,,VI,General runoff,GR,2024,H,2023-12-14,
2024-08-12T11:45:37,2024-11-05,18,Rep. Sheila Jackson Lee's Seat.,,TX,Special election general,SG,2024,H,2024-08-12,2024-08-22T16:59:45
2024-07-24T11:46:32,2024-11-05,,,,WY,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,WI,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,WV,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,WA,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,VA,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,VT,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,UT,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,TX,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,TN,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,RI,General election,G,2024,S,2024-07-24,
2024-07-24T11:46:32,2024-11-05,,,,PA,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,OH,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,ND,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,NY,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,NM,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,NJ,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,NV,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,NE,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,MT,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,MO,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,MS,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,MN,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,MI,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,MA,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,MD,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,ME,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,IN,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,HI,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,FL,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,DE,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,CT,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,CA,General election,G,2024,S,2024-07-24,
2024-07-24T11:45:08,2024-11-05,,,,AZ,General election,G,2024,S,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,WY,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,WI,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,WV,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,WA,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,VA,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,VT,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,UT,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,VI,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,TX,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,TN,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,SD,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,SC,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,RI,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,PR,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,PA,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,OR,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,OK,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,OH,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,ND,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,NC,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,NY,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,NM,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,NJ,General election,G,2024,H,2024-07-24,
2023-12-18T15:50:49,2024-11-05,,,,AS,General election,G,2024,H,2023-12-18,
2023-12-18T15:50:49,2024-11-05,,,,MP,General election,G,2024,H,2023-12-18,
2023-12-18T15:51:52,2024-11-05, ,,,LA,General election,G,2024,H,2023-12-18,
2024-01-16T15:27:37,2024-11-05, ,Sen. Dianne Feinstein's Seat,,CA,Special election general,SG,2024,S,2024-01-16,
2024-06-14T17:27:40,2024-11-05,08,Rep. Mike Gallagher's Seat.,,WI,Special election general,SG,2024,H,2024-06-14,
2024-07-24T11:40:09,2024-11-05,,,,,General election,G,2024,P,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,AL,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,AK,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,AZ,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,AR,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,CA,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,CO,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,CT,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,DE,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,DC,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,FL,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,GA,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,GU,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,HI,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,ID,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,IL,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,IN,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,IA,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,KS,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,KY,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,ME,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,MD,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,MA,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,MI,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,MN,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,MS,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,MO,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,MT,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,NE,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,NV,General election,G,2024,H,2024-07-24,
2024-07-24T11:41:58,2024-11-05,,,,NH,General election,G,2024,H,2024-07-24,
2024-05-14T10:50:54,2024-09-18,10,"Rep. Donald M. Payne, Jr.'s seat.",,NJ,Special election general,SG,2024,H,2024-05-14,
2023-07-06T13:46:37,2024-09-10, ,,,DE,Primary election,P,2024,H,2023-07-06,
2023-07-06T13:46:37,2024-09-10, ,,,DE,Primary election,P,2024,S,2023-07-06,
