amendment_indicator,beginning_image_number,candidate_committee_id,coverage_end_date,coverage_start_date,ending_image_number,form_type,receipt_date,report_type,report_year,status_num,sub_id,summary_data_complete_date,summary_data_verification_date,transaction_data_complete_date
,86033344225,P80000334,,,86033344227,F2,1986-05-15T00:00:00,,,1,3032920021021991503,1987-09-30T00:00:00,,
,88013460230,H8CA40107,,,88013460230,F2,1988-04-04T00:00:00,,,1,3032920021021987195,1988-04-05T00:00:00,,
,87034701856,P40001653,,,87034701857,F2,1987-05-15T00:00:00,,,1,3032920021021991069,1987-05-18T00:00:00,,
,87013382816,H8NE02063,,,87013382816,F2,1987-10-14T00:00:00,,,1,3032920021021988492,1987-10-15T00:00:00,,
,81020022426,S4NV00015,,,81020022428,F2,1981-02-10T00:00:00,,,1,3032920021021993312,1985-05-22T00:00:00,,
,87013333536,H6MI09047,,,87013333536,F2,1987-07-06T00:00:00,,,1,3032920021021983687,1987-07-10T00:00:00,,
,87013323208,H6IN07113,,,87013323208,F2,1987-03-20T00:00:00,,,1,3032920021021982878,1987-03-23T00:00:00,,
,87013381646,H6TX12029,,,87013381646,F2,1987-09-21T00:00:00,,,1,3032920021021986162,1987-09-24T00:00:00,,
,86034252518,P80000607,,,86034252519,F2,1986-11-24T00:00:00,,,1,3032920021021991564,1987-09-30T00:00:00,,
,88013403239,H8MN07029,,,88013403239,F2,1988-01-28T00:00:00,,,1,3032920021021988245,1988-01-30T00:00:00,,
,24020420589,C00391938,,,24020420592,F10,2004-07-12T00:00:00,,,0,1071320040000168583,2004-07-13T12:16:59,,
,87034702367,P80001076,,,87034702368,F2,1987-06-29T00:00:00,,,1,3032920021021991645,1987-07-01T00:00:00,,
,87013333215,H4NC09023,,,87013333215,F2,1987-06-29T00:00:00,,,1,3032920021021980122,1987-06-30T00:00:00,,
,88013491286,H8MO09047,,,88013491286,F2,1988-04-19T00:00:00,,,1,3032920021021988322,1988-04-21T00:00:00,,
,27039710152,C00406041,,,27039710153,F99,2008-04-22T00:00:00,,,0,1042320080000602613,2008-04-23T14:13:15,,
,88013452430,H8CT06037,,,88013452430,F2,1988-02-04T00:00:00,,,1,3032920021021987323,1988-03-08T00:00:00,,
,88020092870,S8TN00204,,,88020092871,F2,1988-05-20T00:00:00,,,1,3032920021021994881,1988-05-25T00:00:00,,
,87013380933,H6NJ01048,,,87013380933,F2,1987-09-11T00:00:00,,,1,3032920021021984401,1987-09-15T00:00:00,,
,27039343246,C00412460,,,27039343247,F99,2007-01-19T00:00:00,,,0,1012220070000514922,2007-01-22T11:46:29,,
,88013513587,H8WA07132,,,88013513587,F2,1988-06-07T00:00:00,,,1,3032920021021989809,1988-06-09T00:00:00,,
,88013520062,H4WI04027,,,88013520062,F2,1988-06-27T00:00:00,,,1,3032920021021981056,1988-06-28T00:00:00,,
,87013382843,H8MD08065,,,87013382843,F2,1987-10-15T00:00:00,,,1,3032920021021988043,1987-10-16T00:00:00,,
,22037714523,C00352849,,,22037714524,F99,2002-08-30T00:00:00,,,1,1090420020000051371,2002-09-04T10:44:25,2005-05-13T21:21:14,
,81020043117,S6WV00014,,,81020043118,F2,1981-07-30T00:00:00,,,1,3032920021021994179,1985-05-22T00:00:00,,
,88035481929,P80001068,,,88035481930,F2,1988-10-11T00:00:00,,,1,3032920021021991643,1988-10-12T00:00:00,,
,87034253419,P80000771,,,87034253420,F2,1987-03-11T00:00:00,,,1,3032920021021991596,1987-03-13T00:00:00,,
,88035112750,P80002306,,,88035112751,F2,1988-03-09T00:00:00,,,1,3032920021021991804,1988-03-10T00:00:00,,
,87013324227,H2TX05048,,,87013324227,F2,1987-03-26T00:00:00,,,1,3032920021021978451,1987-03-31T00:00:00,,
,88020012200,S8WA00012,,,88020012201,F2,1988-01-26T00:00:00,,,1,3032920021021994946,1988-02-01T00:00:00,,
,87013382356,H2GA03021,,,87013382356,F2,1987-10-02T00:00:00,,,1,3032920021021976519,1987-10-07T00:00:00,,
,87013390033,H0VT00015,,,87013390033,F2,1987-11-02T00:00:00,,,1,3032920021021975362,1987-11-04T00:00:00,,
,27039474486,H8NM03097,,,27039474488,F99,2007-07-17T00:00:00,,,0,1072420070000555156,2007-07-24T08:05:05,,
,86034252553,P80000599,,,86034252554,F2,1986-11-28T00:00:00,,,1,3032920021021991562,1987-09-30T00:00:00,,
,88020012194,S8NM00119,,,88020012196,F2,1988-01-27T00:00:00,,,1,3032920021021994755,1988-01-29T00:00:00,,
,87034885075,P80001654,,,87034885076,F2,1987-10-21T00:00:00,,,1,3032920021021991726,1987-10-22T00:00:00,,
,87020061294,S6SD00028,,,87020061296,F2,1987-07-23T00:00:00,,,1,3032920021021994058,1987-07-30T00:00:00,,
,87013373463,H6ME01041,,,87013373463,F2,1987-08-05T00:00:00,,,1,3032920021021983522,1987-08-12T00:00:00,,
,28039723091,C00387530,,,28039723092,F99,2008-05-09T00:00:00,,,0,1051320080000607429,2008-05-13T15:13:37,,
,87013392601,H8VT00067,,,87013392601,F2,1987-12-22T00:00:00,,,1,3032920021021989717,1987-12-29T00:00:00,,
,27039343248,C00408302,,,27039343249,F99,2007-01-19T00:00:00,,,0,1012220070000514923,2007-01-22T11:46:43,,
,88035113640,P80001894,,,88035113642,F2,1988-03-15T00:00:00,,,1,3032920021021991755,1988-03-21T00:00:00,,
,86033340860,P80000219,,,86033340861,F2,1986-01-28T00:00:00,,,1,3032920021021991471,1986-01-30T00:00:00,,
,87020053305,S6PA00100,,,87020053305,F2,1987-06-18T00:00:00,,,1,3032920021021994013,1987-06-23T00:00:00,,
,88013394478,H2NC11015,,,88013394478,F2,1988-01-12T00:00:00,,,1,3032920021021977492,1988-01-22T00:00:00,,
,86013235183,H6MI02091,,,86013235183,F2,1986-11-26T00:00:00,,,1,3032920021021983566,1987-09-30T00:00:00,,
,87013382694,H8MA11018,,,87013382694,F2,1987-10-09T00:00:00,,,1,3032920021021987978,1987-10-13T00:00:00,,
,25038744099,C00360230,,,25038744116,F99,2005-02-16T00:00:00,,,1,1030220050000224984,2005-03-02T16:01:40,2005-03-03T00:00:00,
,25038693619,C00405894,,,25038693620,F99,2005-01-13T00:00:00,,,0,1011920050000213176,2005-01-19T08:34:41,,
,27039343234,C00342873,,,27039343235,F99,2007-01-19T00:00:00,,,0,1012220070000514916,2007-01-22T11:44:29,,
,201810090300231433,C00154641,2018-09-30T00:00:00,2018-07-01T00:00:00,201810090300231440,F3X,2018-10-09T00:00:00,Q3,,0,1100920180037404766,2018-10-09T11:14:04,,
,26039134476,S2NJ00080,,,26039134477,F99,2006-07-18T00:00:00,,,0,1071820060000320400,2006-07-18T15:41:16,,
,28039712738,C00445676,,,28039712738,F99,2008-04-25T00:00:00,,,0,1042920080000604731,2008-04-29T11:23:17,,
,85033334426,P40000648,,,85033334427,F2,1985-09-19T00:00:00,,,1,3032920021021990895,1985-09-19T00:00:00,,
,83020070948,S4KS00010,,,83020070949,F2,1983-10-07T00:00:00,,,1,3032920021021993129,1985-05-22T00:00:00,,
,12030711187,C00491845,2011-06-30T00:00:00,2011-01-01T00:00:00,12030711190,F3,2012-01-19T00:00:00,MY,,0,1062020130014161088,2013-06-20T09:06:32,,
,84020180220,S4SC00018,,,84020180222,F2,1984-09-29T00:00:00,,,1,3032920021021993373,1985-05-22T00:00:00,,
,88035144091,P80002363,,,88035144092,F2,1988-03-24T00:00:00,,,1,3032920021021991810,1988-03-29T00:00:00,,
,88013442813,H0NY30011,,,88013442813,F2,1988-02-10T00:00:00,,,1,3032920021021974777,1988-02-16T00:00:00,,
,87013384173,H2VA06040,,,87013384173,F2,1987-10-28T00:00:00,,,1,3032920021021978660,1987-11-03T00:00:00,,
,87013380519,H2MI17023,,,87013380519,F2,1987-09-01T00:00:00,,,1,3032920021021977260,1987-09-04T00:00:00,,
,87013381647,H2CA27016,,,87013381647,F2,1987-09-21T00:00:00,,,1,3032920021021975857,1987-09-24T00:00:00,,
,88013473586,H2FL16025,,,88013473586,F2,1988-04-14T00:00:00,,,1,3032920021021976443,1988-04-21T00:00:00,,
,26039112566,C00390336,,,26039112567,F99,2006-07-11T00:00:00,,,0,1071220060000318800,2006-07-12T15:28:22,,
,88013461191,H8NJ02026,,,88013461191,F2,1988-04-08T00:00:00,,,1,3032920021021988528,1988-04-12T00:00:00,,
,88013495392,H6IL04047,,,88013495392,F2,1988-04-26T00:00:00,,,1,3032920021021982543,1988-05-02T00:00:00,,
,88013393415,H6TN05215,,,88013393415,F2,1988-01-11T00:00:00,,,1,3032920021021985990,1988-01-13T00:00:00,,
,86034252585,P40000481,,,86034252586,F2,1986-12-15T00:00:00,,,1,3032920021021990857,1987-09-30T00:00:00,,
,85033334331,P00001792,,,85033334333,F2,1985-08-23T00:00:00,,,1,3032920021021990266,1985-08-23T00:00:00,,
,88013501014,H8WY00072,,,88013501014,F2,1988-05-03T00:00:00,,,1,3032920021021989907,1988-05-16T00:00:00,,
,88013491083,H8WA07132,,,88013491083,F2,1988-04-14T00:00:00,,,1,3032920021021989810,1988-04-21T00:00:00,,
,88035393508,P80000144,,,88035393509,F2,1988-08-11T00:00:00,,,1,3032920021021991454,1988-08-12T00:00:00,,
,87034763573,P80001563,,,87034763574,F2,1987-09-30T00:00:00,,,1,3032920021021991714,1987-10-07T00:00:00,,
,88035062991,P80002249,,,88035062996,F2,1988-02-12T00:00:00,,,1,3032920021021991798,1988-02-16T00:00:00,,
,83020032753,S6MA00015,,,83020032754,F2,1983-07-05T00:00:00,,,1,3032920021021993766,1985-05-22T00:00:00,,
,88013401434,H8MS05070,,,88013401434,F2,1988-01-26T00:00:00,,,1,3032920021021988383,1988-01-29T00:00:00,,
,87013380952,H8CA17014,,,87013380952,F2,1987-09-14T00:00:00,,,1,3032920021021986945,1987-09-15T00:00:00,,
,87013324337,H8CA31114,,,87013324337,F2,1987-03-31T00:00:00,,,1,3032920021021987069,1987-04-02T00:00:00,,
,24990514929,C00325449,,,24990514929,F99,2004-02-17T00:00:00,,,1,4021720041035910024,2004-02-17T00:00:00,2004-02-17T00:00:00,2004-02-17
,88013502493,H8SC05042,,,88013502493,F2,1988-05-18T00:00:00,,,1,3032920021021989395,1988-05-19T00:00:00,,
,77030610540,P60002292,,,77030610541,F2,1977-10-25T00:00:00,,,1,3032920021021991345,1984-08-02T00:00:00,,
,88035582435,P80000326,,,88035582435,F2,1988-11-03T00:00:00,,,1,3032920021021991499,1988-11-04T00:00:00,,
,22992298891,C00353888,,,,F1M,2002-10-18T00:00:00,,,1,4101820021027951779,,2005-07-11T21:19:39,
,27039343178,C00408286,,,27039343179,F99,2007-01-19T00:00:00,,,0,1012220070000514887,2007-01-22T11:34:47,,
,10030491512,C00474684,,,10030491513,F99,2010-11-12T00:00:00,,,1,1111220100004856319,2010-11-12T14:28:57,,
,88020162116,S6MO00271,,,88020162118,F2,1988-09-23T00:00:00,,,1,3032920021021993860,1988-09-30T00:00:00,,
,88013514631,H8AK00041,,,88013514631,F2,1988-06-15T00:00:00,,,1,3032920021021986691,1988-06-17T00:00:00,,
,88013444846,H0MN06028,,,88013444846,F2,1988-02-24T00:00:00,,,1,3032920021021974335,1988-02-26T00:00:00,,
,85020091915,S6MD00066,,,85020091916,F2,1985-10-04T00:00:00,,,1,3032920021021993782,1985-10-04T00:00:00,,
,84020061933,S6UT00063,,,84020061935,F2,1984-03-12T00:00:00,,,1,3032920021021994113,1984-03-14T00:00:00,,
,87013331109,H4NC06011,,,87013331109,F2,1987-04-29T00:00:00,,,1,3032920021021980111,1987-05-04T00:00:00,,
,88013444833,H6OH01021,,,88013444833,F2,1988-02-24T00:00:00,,,1,3032920021021985063,1988-02-26T00:00:00,,
,88013683311,H8AR04072,,,88013683311,F2,1988-10-28T00:00:00,,,1,3032920021021986764,1988-11-03T00:00:00,,
,27039474513,H8TN08033,,,27039474515,F99,2007-07-17T00:00:00,,,0,1072420070000555166,2007-07-24T08:32:11,,
,201804169108268213,C00000935,,,201804169108268219,F1,2018-04-16T00:00:00,,,1,4041620181525934570,2018-04-16T00:00:00,2018-04-16T00:00:00,2018-04-16
,88013573209,H8WA08015,,,88013573209,F2,1988-08-02T00:00:00,,,1,3032920021021989814,1988-08-08T00:00:00,,
,85033323038,P00000018,,,85033323039,F2,1985-02-11T00:00:00,,,1,3032920021021989915,1985-02-12T00:00:00,,
,25038693615,C00324350,,,25038693616,F99,2005-01-13T00:00:00,,,0,1011920050000213174,2005-01-19T08:34:14,,
,22037661479,C00377184,,,22037661480,F99,2002-07-17T00:00:00,,,1,1071920020000040426,2002-07-19T09:50:31,2005-05-13T21:21:14,
,27039343226,C00410977,,,27039343227,F99,2007-01-19T00:00:00,,,0,1012220070000514912,2007-01-22T11:42:58,,
,88013462456,H8CA42087,,,88013462456,F2,1988-04-08T00:00:00,,,1,3032920021021987215,1988-04-15T00:00:00,,
